_id.authPayerId,_id.firstSix,_id.merchantId,_id.threeDsProviderName,_id.createdAt,_id.terminal_id,_id.eci,_id.transStatus,_id.authenticationStatus,_id.directoryServerErrorCode,_id.directoryServerErrorDescription,_id.veresEnrolled,_id.paresStatus,_id.authenticationResult,_id.statusReasonCode,_id.result,count
auth_payer_BhMQ4924119jJoR15Vb74978,428679,20189822,CYBERSOURCE,2024-08-15T11:09:49.978Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_9rF2182411109ct315kU71273,456891,20189822,CYBERSOURCE,2024-08-15T11:10:18.273Z,ter_352f806f61114893b8ad32e5,,,INITIATED,[],[],[],[],[],[],["COMPLETED"],1
auth_payer_iTvg29241110TiNi15zP7u489,445827,20189822,CYBERSOURCE,2024-08-15T11:10:29.490Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_2j2413241111D1kO15Tu7q656,445827,20189822,CYBERSOURCE,2024-08-15T11:11:13.656Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_vmoV4241113yaBI15Pe7i643,445827,20189822,CYBERSOURCE,2024-08-15T11:13:04.644Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_5gCU11241113xvez15Lb7g335,445827,20189822,CYBERSOURCE,2024-08-15T11:13:11.335Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_mRFQ52241114OKbU15137E391,445827,20189822,CYBERSOURCE,2024-08-15T11:14:52.391Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_cfdB51241115ZSNr15Ma7W28,445520,20189822,CYBERSOURCE,2024-08-15T11:15:51.028Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],[],[],"[""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_iqeL38241116Dkgt15Rj7M954,445827,20189822,CYBERSOURCE,2024-08-15T11:16:38.954Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_ZJae15241117xZcC15eR7Q941,445827,20189822,CYBERSOURCE,2024-08-15T11:17:15.941Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_oAqW41241118g2t715Lq73251,445827,20189822,CYBERSOURCE,2024-08-15T11:18:41.251Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_ds1C49241118gmZg15bz7J371,445827,20189822,CYBERSOURCE,2024-08-15T11:18:49.371Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_mz6y26241119yY4F15aE7Z606,445827,20189822,CYBERSOURCE,2024-08-15T11:19:26.606Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_WPq4482411199yWo15hM7u244,445827,20189822,CYBERSOURCE,2024-08-15T11:19:48.244Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],[],[],"[""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_eulX22241120R9OQ15sE73624,445827,20189822,CYBERSOURCE,2024-08-15T11:20:22.624Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_1pGS45241120EA1B15an7M635,445827,20189822,CYBERSOURCE,2024-08-15T11:20:45.635Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_77O7522411212SOs15uE75764,445827,20189822,CYBERSOURCE,2024-08-15T11:21:52.764Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Dun130241122VrfV157c7Z904,445827,20189822,CYBERSOURCE,2024-08-15T11:22:30.904Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_SR2O59241122ejbI15z27z142,445827,20189822,CYBERSOURCE,2024-08-15T11:22:59.142Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_CePp38241123Ujmk15r47g846,445827,20189822,CYBERSOURCE,2024-08-15T11:23:38.846Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_A38S34241124hvxE150J7v213,445827,20189822,CYBERSOURCE,2024-08-15T11:24:34.213Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_hmWf49241124vZIf15Nu7c712,445827,20189822,CYBERSOURCE,2024-08-15T11:24:49.712Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_EQrz56241125y2dl15AZ7t477,445827,20189822,CYBERSOURCE,2024-08-15T11:25:56.477Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_QSDR53241126hiji15zb77980,445827,20189822,CYBERSOURCE,2024-08-15T11:26:53.980Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_vdNA2241128K27J152178607,445827,20189822,CYBERSOURCE,2024-08-15T11:28:02.608Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Bo9I122411289r3y15G87X800,445827,20189822,CYBERSOURCE,2024-08-15T11:28:12.800Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_YolO112411296f2315qJ7y732,445827,20189822,CYBERSOURCE,2024-08-15T11:29:11.732Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_AI7R17241129r4IO150M7U909,445827,20189822,CYBERSOURCE,2024-08-15T11:29:17.909Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_doc134241129PZtW15UA76692,445827,20189822,CYBERSOURCE,2024-08-15T11:29:34.692Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_DYkP35241130Fecr15uk7k993,445827,20189822,CYBERSOURCE,2024-08-15T11:30:35.993Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_jRHi36241130roMA15I77g322,454807,20189822,CYBERSOURCE,2024-08-15T11:30:36.322Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Tlhe48241130VMrQ15RR7F558,445827,20189822,CYBERSOURCE,2024-08-15T11:30:48.558Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_zP5O42241131IQPX15rC7Z907,445827,20189822,CYBERSOURCE,2024-08-15T11:31:42.907Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_lEa25241132yBX815sI7J379,445827,20189822,CYBERSOURCE,2024-08-15T11:32:05.379Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],[],[],"[""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Y0HL34241132xNJu15sd7z109,518694,20189822,CYBERSOURCE,2024-08-15T11:32:34.110Z,ter_352f806f61114893b8ad32e5,02,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_JbTd43241132mk6R15dn7Q707,445827,20189822,CYBERSOURCE,2024-08-15T11:32:43.707Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_2Gx5524113486DM152W7Z690,445827,20189822,CYBERSOURCE,2024-08-15T11:34:05.690Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Xn4S18241134WXGf155Z7h970,445827,20189822,CYBERSOURCE,2024-08-15T11:34:18.970Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_6ZOt16241135gS8r157e7652,445827,20189822,CYBERSOURCE,2024-08-15T11:35:16.052Z,ter_352f806f61114893b8ad32e5,,,INITIATED,[],[],[],[],[],[],["COMPLETED"],1
auth_payer_cg9o43241137HQWT15nm7H892,445827,20189822,CYBERSOURCE,2024-08-15T11:37:43.892Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_XSQL22241138hCQy15nd7L674,445827,20189822,CYBERSOURCE,2024-08-15T11:38:22.674Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_9uVM44241138t59P15po72423,445827,20189822,CYBERSOURCE,2024-08-15T11:38:44.423Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_LEQl52241138h4Wa15RG7e554,445827,20189822,CYBERSOURCE,2024-08-15T11:38:52.554Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Csxd122411390hOy15hc73712,445827,20189822,CYBERSOURCE,2024-08-15T11:39:12.712Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Wgos262411401LuH15ZG7A192,445827,20189822,CYBERSOURCE,2024-08-15T11:40:26.192Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_Y2AC24241141Gz4t15fK7D37,445827,20189822,CYBERSOURCE,2024-08-15T11:41:24.037Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_bSJG262411421Et015BA7b679,445827,20189822,CYBERSOURCE,2024-08-15T11:42:26.679Z,ter_352f806f61114893b8ad32e5,05,Y,AUTHENTICATED,[],[],["Y"],["Y"],["0"],[],"[""PENDING_AUTHENTICATION"",""AUTHENTICATION_SUCCESSFUL"",""COMPLETED""]",1
auth_payer_rb2c542411428d6Q15Kf7S235,445827,20189822,CYBERSOURCE,2024-08-15T11:42:54.236Z,ter_352f806f61114893b8ad32e5,,,INITIATED,[],[],[],[],[],[],["COMPLETED"],1
